"skierID","resortID","liftID","seasonID","dayID","time","latency","startTime","responseCode","requestMethod"
"29660","3","28","2022","1","188","0","Fri Mar 03 13:58:03 EST 2023","200","POST"
"13648","6","5","2022","1","181","1","Fri Mar 03 13:58:03 EST 2023","200","POST"
"46973","5","7","2022","1","318","0","Fri Mar 03 13:58:02 EST 2023","200","POST"
"63689","1","10","2022","1","288","0","Fri Mar 03 13:58:02 EST 2023","200","POST"
"60409","6","10","2022","1","342","1","Fri Mar 03 13:58:04 EST 2023","200","POST"
"70138","9","24","2022","1","346","1","Fri Mar 03 13:58:02 EST 2023","200","POST"
"72987","5","6","2022","1","282","0","Fri Mar 03 13:58:03 EST 2023","200","POST"
"71869","9","8","2022","1","47","0","Fri Mar 03 13:58:03 EST 2023","200","POST"
"50156","1","13","2022","1","103","1","Fri Mar 03 13:58:02 EST 2023","200","POST"
"23417","8","8","2022","1","221","1","Fri Mar 03 13:58:02 EST 2023","200","POST"
"23240","6","4","2022","1","184","0","Fri Mar 03 13:58:03 EST 2023","200","POST"
"40712","4","29","2022","1","128","0","Fri Mar 03 13:58:02 EST 2023","200","POST"
"67405","7","16","2022","1","90","0","Fri Mar 03 13:58:02 EST 2023","200","POST"
"34066","5","30","2022","1","284","0","Fri Mar 03 13:58:03 EST 2023","200","POST"
"72894","2","25","2022","1","259","1","Fri Mar 03 13:58:01 EST 2023","200","POST"
"90328","1","16","2022","1","28","1","Fri Mar 03 13:58:01 EST 2023","200","POST"
"15368","5","31","2022","1","166","0","Fri Mar 03 13:58:03 EST 2023","200","POST"
"6968","4","31","2022","1","26","0","Fri Mar 03 13:58:01 EST 2023","200","POST"
"47385","8","37","2022","1","59","0","Fri Mar 03 13:58:01 EST 2023","200","POST"
"85048","1","9","2022","1","152","1","Fri Mar 03 13:58:01 EST 2023","200","POST"
"55080","9","23","2022","1","248","0","Fri Mar 03 13:58:03 EST 2023","200","POST"
"43549","2","39","2022","1","44","0","Fri Mar 03 13:58:03 EST 2023","200","POST"
"46565","1","11","2022","1","17","4","Fri Mar 03 13:58:00 EST 2023","200","POST"
"98456","5","36","2022","1","16","0","Fri Mar 03 13:58:03 EST 2023","200","POST"
"11533","6","4","2022","1","28","0","Fri Mar 03 13:58:03 EST 2023","200","POST"
"16533","1","3","2022","1","57","0","Fri Mar 03 13:58:03 EST 2023","200","POST"
"26628","8","32","2022","1","161","0","Fri Mar 03 13:58:04 EST 2023","200","POST"
"32115","9","32","2022","1","328","0","Fri Mar 03 13:58:03 EST 2023","200","POST"
"24456","2","25","2022","1","42","2","Fri Mar 03 13:58:00 EST 2023","200","POST"
"97690","4","10","2022","1","217","0","Fri Mar 03 13:58:01 EST 2023","200","POST"
"77306","1","17","2022","1","235","0","Fri Mar 03 13:58:03 EST 2023","200","POST"
"56835","7","31","2022","1","257","0","Fri Mar 03 13:58:02 EST 2023","200","POST"
"26344","6","31","2022","1","340","1","Fri Mar 03 13:58:00 EST 2023","200","POST"
